"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
8.81176307764958e-270,-90.2081765995906,0.091,0.365,1.49553242953869e-265,"Dysfunctional.CD8","IGFBP4"
2.15995015653814e-266,-48.8810610053532,0.085,0.358,3.66586740567654e-262,"Dysfunctional.CD8","GRN"
1.34582914301162e-265,-9.30082708689032,0.038,0.284,2.28414122151933e-261,"Dysfunctional.CD8","RAB13"
2.16511834537961e-264,-120.029918672784,0.532,0.233,3.67463885577828e-260,"Dysfunctional.CD8","ALOX5AP"
1.5905872212039e-261,-18.7649318030111,0.022,0.249,2.69954463182726e-257,"Dysfunctional.CD8","TCEAL9"
7.16487148757953e-261,-49.7254381804745,0.224,0.511,1.216021988872e-256,"Dysfunctional.CD8","VMP1"
1.70983857156015e-254,-270.105905234224,0.336,0.621,2.90193802365189e-250,"Dysfunctional.CD8","HSPB1"
5.32334409720122e-253,-157.333815827513,0.418,0.689,9.0347796017699e-249,"Dysfunctional.CD8","SAT1"
2.15829040904001e-251,-115.467400889946,0.303,0.595,3.66305048222271e-247,"Dysfunctional.CD8","JUNB"
5.27743783154778e-251,-47.5673746869673,0.205,0.487,8.95686748770289e-247,"Dysfunctional.CD8","LAPTM4A"
7.54320479992329e-251,-33.2647520688348,0.217,0.511,1.28023271864298e-246,"Dysfunctional.CD8","ZFP36L1"
2.27762851475525e-250,0.278065292211021,0.248,0.053,3.86559111524262e-246,"Dysfunctional.CD8","PVRIG"
3.05414235872686e-250,-35.9156769730348,0.053,0.299,5.18349041123122e-246,"Dysfunctional.CD8","RHOB"
4.21129975233957e-250,-8.874312764836,0.011,0.216,7.14741793967072e-246,"Dysfunctional.CD8","MEF2C"
2.50964615322388e-249,0.720717008899154,0.8,0.51,4.25937145125157e-245,"Dysfunctional.CD8","ARHGDIB"
3.01308028811135e-249,-103.309951007545,0.116,0.387,5.11379986498259e-245,"Dysfunctional.CD8","TPM1"
2.80822328311568e-247,-62.2757638121117,0.086,0.341,4.76611655610393e-243,"Dysfunctional.CD8","A2M"
1.69828249990273e-245,-165.989985970239,0.144,0.425,2.88232505883491e-241,"Dysfunctional.CD8","CTSB"
1.98203559076862e-244,-319.005147134317,0.172,0.452,3.36391080465249e-240,"Dysfunctional.CD8","SPARC"
2.27864260504679e-242,-93.5518625949935,0.388,0.137,3.86731222928542e-238,"Dysfunctional.CD8","HOPX"
4.1801853382774e-239,-85.1176398719654,0.024,0.237,7.0946105561244e-235,"Dysfunctional.CD8","CAV1"
4.22349832028964e-239,-115.937309188909,0.262,0.549,7.16812134919557e-235,"Dysfunctional.CD8","DUSP1"
5.97811583694965e-235,-3.81958486405139,0.279,0.076,1.01460581984709e-230,"Dysfunctional.CD8","SOCS1"
1.20910052201271e-232,-104.401984829642,0.84,0.567,2.05208540595998e-228,"Dysfunctional.CD8","SRGN"
1.94708762309146e-231,-14.3781503948524,0.048,0.278,3.30459711391082e-227,"Dysfunctional.CD8","TIMP2"
6.05620117357961e-231,-Inf,0.396,0.682,1.02785846317993e-226,"Dysfunctional.CD8","TIMP1"
3.32070094602815e-230,-91.1681269446896,0.069,0.313,5.63589364559898e-226,"Dysfunctional.CD8","NNMT"
6.86571638926308e-229,-6.20058976066515,0.016,0.214,1.16524938558573e-224,"Dysfunctional.CD8","NFIB"
4.01012935958295e-228,-14.4690777195022,0.027,0.237,6.80599154908418e-224,"Dysfunctional.CD8","ACTN1"
1.2568857837519e-221,-56.5428133544301,0.33,0.577,2.13318655218372e-217,"Dysfunctional.CD8","RAC1"
1.26448250450031e-221,-129.57726030122,0.101,0.348,2.14607970663792e-217,"Dysfunctional.CD8","TSC22D1"
1.28486763545496e-221,-12.1581278231862,0.049,0.269,2.18067735089415e-217,"Dysfunctional.CD8","BEX3"
1.38966341376318e-221,-12.2603176350341,0.067,0.3,2.35853674583887e-217,"Dysfunctional.CD8","FCGRT"
5.24008459424272e-220,0.770106204496574,0.23,0.053,8.89347157334875e-216,"Dysfunctional.CD8","OXNAD1"
1.25830935964749e-219,-665.162461356633,0.411,0.659,2.13560264519372e-215,"Dysfunctional.CD8","IGFBP7"
2.36640138083121e-218,-24.5435229463592,0.023,0.219,4.01625642354673e-214,"Dysfunctional.CD8","CAVIN1"
