"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"CD68.1",9.72539979029995e-31,-1.36365828377928,0.167,0.517,1.65059485240971e-26,"0","CD68"
"RHOA",1.11059491736974e-30,-0.540815692325574,0.303,0.648,1.88490169375992e-26,"0","RHOA"
"ATP5PO",1.2300067278846e-30,-0.645854116436339,0.2,0.529,2.08756741856574e-26,"0","ATP5PO"
"CFL1",1.57929782018752e-30,-0.716514378885384,0.56,0.866,2.68038426042226e-26,"0","CFL1"
"OST4",3.13777872625761e-30,-0.463040141919158,0.39,0.725,5.32543805420441e-26,"0","OST4"
"COX7C",3.94818737318268e-30,-0.323745682701233,0.567,0.863,6.70086360976565e-26,"0","COX7C"
"NUCKS1.1",4.05628106655444e-30,0.611903559112829,0.303,0.421,6.88432022615619e-26,"0","NUCKS1"
"TMEM258",4.74558561937788e-30,-0.51582547487836,0.243,0.567,8.05420791320813e-26,"0","TMEM258"
"TSPO",6.30537408635858e-30,-0.62615855139581,0.31,0.652,1.07014808993678e-25,"0","TSPO"
"CTSH.1",7.63871561091364e-30,-0.605797106964384,0.24,0.57,1.29644281348426e-25,"0","CTSH"
"PSMA7",1.13143922870223e-29,-0.692508989042915,0.257,0.602,1.92027865895342e-25,"0","PSMA7"
"RNASEK",1.13851366822137e-29,-0.91685053857941,0.287,0.644,1.93228539770531e-25,"0","RNASEK"
"VAMP8",1.45309929334342e-29,-0.787641937568322,0.36,0.71,2.46620012066246e-25,"0","VAMP8"
"LAPTM4A",1.82457869870673e-29,-0.713348858452051,0.187,0.509,3.09667496744507e-25,"0","LAPTM4A"
"POMP",1.83456898296991e-29,-0.342312465833479,0.373,0.685,3.11363047789652e-25,"0","POMP"
"NDUFA1",1.91078434409553e-29,-0.371390481396138,0.307,0.617,3.24298318879893e-25,"0","NDUFA1"
"TPI1.1",2.3471494617784e-29,-0.754632640246613,0.293,0.641,3.98358206653029e-25,"0","TPI1"
"AP2S1",2.63436141491915e-29,-0.614372244725555,0.24,0.576,4.47103819340079e-25,"0","AP2S1"
"OAZ1",4.17314296980395e-29,-0.668752304674864,0.617,0.894,7.08265824835126e-25,"0","OAZ1"
"MYL12A",4.38181407016704e-29,-0.635213488335692,0.413,0.751,7.4368148398875e-25,"0","MYL12A"
"PARK7",7.00941759972217e-29,-0.544479080395625,0.22,0.535,1.18963835502485e-24,"0","PARK7"
"ARPC3",1.1145909124443e-28,-0.298862736606016,0.523,0.813,1.89168369660046e-24,"0","ARPC3"
"LAMTOR5",1.4499667021412e-28,-0.250221898540018,0.21,0.48,2.46088348687404e-24,"0","LAMTOR5"
"SLC25A6.1",1.66808899720871e-28,-0.74890803031138,0.353,0.697,2.83108064606263e-24,"0","SLC25A6"
"PSMB3",1.69711081051824e-28,-0.480795810476053,0.25,0.571,2.88033646761155e-24,"0","PSMB3"
"LY96",1.75781281980051e-28,-0.824156651869991,0.13,0.44,2.98335991776543e-24,"0","LY96"
"NDUFB2",1.82552487673122e-28,-0.501835253553426,0.247,0.569,3.09828082078823e-24,"0","NDUFB2"
"HLA-DMA.2",1.92016392148516e-28,-0.682900747679875,0.34,0.683,3.25890220754461e-24,"0","HLA-DMA"
"ARPC2",1.95159473538765e-28,-0.66940800205584,0.35,0.689,3.31224658489992e-24,"0","ARPC2"
"HNRNPDL",2.26917336873774e-28,0.398586349069347,0.433,0.579,3.85124104142169e-24,"0","HNRNPDL"
"SH3BGRL",2.63304274750027e-28,-0.271773153077102,0.26,0.551,4.46880015105746e-24,"0","SH3BGRL"
"DDX5.1",5.19201480268386e-28,0.418111731880203,0.567,0.712,8.81188752311505e-24,"0","DDX5"
"CLIC1",7.50715637389064e-28,-0.686427333718323,0.34,0.68,1.27411457977672e-23,"0","CLIC1"
"ATP5PD",8.04015322316672e-28,-0.54514930153576,0.22,0.525,1.36457480503586e-23,"0","ATP5PD"
"AIF1",1.12822454120978e-27,-0.774495247485222,0.483,0.804,1.91482269134124e-23,"0","AIF1"
"UBB",1.36751843248058e-27,-0.397036891307304,0.423,0.739,2.32095228360604e-23,"0","UBB"
"ELOB",1.58335689732268e-27,-0.412478382874192,0.4,0.717,2.68727332613605e-23,"0","ELOB"
"COX4I1",1.83983108711401e-27,-0.464403283043581,0.5,0.808,3.1225613210499e-23,"0","COX4I1"
"PSMB1",1.95413504560281e-27,-0.270056447928807,0.217,0.492,3.31655799939709e-23,"0","PSMB1"
"NDUFB11",2.06048574409286e-27,-0.540373482435608,0.203,0.502,3.4970564048744e-23,"0","NDUFB11"
"ARPC5",2.12877036608194e-27,-0.414441492359122,0.32,0.639,3.61294906531426e-23,"0","ARPC5"
"CLTA",2.83730552708436e-27,-0.506495238174246,0.15,0.435,4.81547494056758e-23,"0","CLTA"
"UQCR10",3.71284423994172e-27,-0.284873936373242,0.34,0.63,6.30143924402908e-23,"0","UQCR10"
"HLA-C",4.38418130025044e-27,-0.764732445948603,0.537,0.839,7.44083250278504e-23,"0","HLA-C"
"APRT",6.40353052259276e-27,-0.396322656363606,0.197,0.47,1.08680720029444e-22,"0","APRT"
"EIF3H",6.69601016770247e-27,-0.766945287907658,0.183,0.495,1.13644684566246e-22,"0","EIF3H"
"DBI.1",7.0000554722991e-27,-0.759414307879405,0.3,0.636,1.1880494147586e-22,"0","DBI"
"MYL6",7.15774368399145e-27,-0.725031276059449,0.613,0.883,1.21481225804703e-22,"0","MYL6"
