"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"HMGN2",0,1.90559166260371,0.844,0.406,0,"7","HMGN2"
"ACTG1",0,1.86033163618584,0.952,0.762,0,"7","ACTG1"
"HMGB1.1",0,1.65233674370646,0.942,0.745,0,"7","HMGB1"
"PFN1.1",0,1.51620169151181,0.956,0.811,0,"7","PFN1"
"CFL1.1",0,1.47032055069492,0.95,0.765,0,"7","CFL1"
"PCLAF",0,1.38610110587487,0.58,0.04,0,"7","PCLAF"
"RAN",0,1.28522690528507,0.788,0.398,0,"7","RAN"
"SLC25A5",0,1.22623268892012,0.729,0.258,0,"7","SLC25A5"
"HMGN1.1",0,1.20245269770031,0.794,0.431,0,"7","HMGN1"
"TUBB4B",0,1.17962415604794,0.484,0.083,0,"7","TUBB4B"
"DUT",0,1.16660596934155,0.616,0.188,0,"7","DUT"
"PTTG1",0,1.14838955478849,0.494,0.084,0,"7","PTTG1"
"ARPC2.1",0,1.14589062472955,0.829,0.536,0,"7","ARPC2"
"UBE2C",0,1.11383509956265,0.382,0.012,0,"7","UBE2C"
"HNRNPA2B1",0,1.07103083820515,0.847,0.552,0,"7","HNRNPA2B1"
"RANBP1",0,1.02333331874642,0.636,0.21,0,"7","RANBP1"
"PCNA",0,1.01120659704413,0.478,0.068,0,"7","PCNA"
"CKS2",0,1.00652943300376,0.48,0.069,0,"7","CKS2"
"CKS1B",0,0.946433563386527,0.501,0.064,0,"7","CKS1B"
"SMC4",0,0.829614998928838,0.494,0.076,0,"7","SMC4"
"CENPF",0,0.819485778612339,0.315,0.012,0,"7","CENPF"
"MKI67",0,0.779732410022163,0.373,0.008,0,"7","MKI67"
"TYMS",0,0.76324947160905,0.375,0.009,0,"7","TYMS"
"NUSAP1",0,0.745512191025006,0.331,0.01,0,"7","NUSAP1"
"RRM2",0,0.69618423040874,0.332,0.005,0,"7","RRM2"
"BIRC5",0,0.679351618619436,0.357,0.011,0,"7","BIRC5"
"TOP2A",0,0.665866224797542,0.312,0.007,0,"7","TOP2A"
"TK1",0,0.640007729449568,0.325,0.01,0,"7","TK1"
"CDK1",0,0.633406083571109,0.315,0.007,0,"7","CDK1"
"ZWINT",0,0.569247731604471,0.356,0.009,0,"7","ZWINT"
"ASPM",0,0.557370808787483,0.258,0.005,0,"7","ASPM"
"CDKN3",1.48219693752374e-323,0.546651599047112,0.286,0.01,2.42517062917634e-319,"7","CDKN3"
"AURKB",8.86353768639196e-321,0.453800415333968,0.249,0.004,1.45025203624745e-316,"7","AURKB"
"ASF1B",1.377135295904e-315,0.404043890803282,0.254,0.005,2.25326877115813e-311,"7","ASF1B"
"PPIA",3.85538132546874e-308,1.1725590608689,0.886,0.635,6.30817492473194e-304,"7","PPIA"
"DEK.1",6.42976802630267e-293,0.897305704858724,0.63,0.221,1.05203864446364e-288,"7","DEK"
