"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"SRSF9",4.11482369408073e-136,0.567201712215262,0.405,0.146,6.73267452825488e-132,"7","SRSF9"
"SLC25A3",1.33482342532078e-135,0.764661991475792,0.583,0.309,2.18403808850987e-131,"7","SLC25A3"
"TXNDC17",4.5241118548216e-135,0.665550363755699,0.378,0.107,7.4023518168591e-131,"7","TXNDC17"
"CRIP1",6.22775420481896e-135,0.990587754730558,0.721,0.602,1.01898514299248e-130,"7","CRIP1"
"COX6A1.1",2.02947025427457e-133,0.759357465087408,0.735,0.477,3.32061923004405e-129,"7","COX6A1"
"COTL1.1",2.77796975900784e-133,0.725252340420048,0.644,0.359,4.54531411968863e-129,"7","COTL1"
"CCDC167",3.17348991197594e-133,0.466451803349615,0.392,0.109,5.19246419397504e-129,"7","CCDC167"
"KIF20B",4.11217795429096e-133,0.395714850420356,0.272,0.049,6.72834556881087e-129,"7","KIF20B"
"NDUFA4.1",3.88055500372154e-132,0.776967396878917,0.794,0.538,6.34936409708918e-128,"7","NDUFA4"
"NDUFB3",4.99861770907632e-132,0.575692864554817,0.5,0.205,8.17873829559068e-128,"7","NDUFB3"
"PSMC3",1.05635168324039e-130,0.553200851512592,0.363,0.106,1.72840262411792e-126,"7","PSMC3"
"SEM1",1.37407364704354e-130,0.757357692949799,0.583,0.332,2.24825930129264e-126,"7","SEM1"
"ATP5F1C",1.79952131445942e-130,0.658917531202731,0.486,0.201,2.94437677471851e-126,"7","ATP5F1C"
"VDAC1",2.21558687297736e-130,0.641233120174255,0.422,0.156,3.62514324156556e-126,"7","VDAC1"
"COX7B",2.18870272688055e-129,0.71298272631765,0.644,0.371,3.58115540172196e-125,"7","COX7B"
"CENPK",3.08378552284798e-129,0.28809912597762,0.208,0.024,5.04568987248387e-125,"7","CENPK"
"HSPB11",1.08088771020108e-128,0.474136298688891,0.41,0.129,1.76854847143101e-124,"7","HSPB11"
"FKBP1A",3.89254944203485e-128,0.745196592784885,0.577,0.291,6.36898939705743e-124,"7","FKBP1A"
"CBX5",2.00061064446162e-127,0.378258314137668,0.294,0.059,3.27339913646811e-123,"7","CBX5"
"CCT5",5.54549568408115e-127,0.560563914242673,0.315,0.097,9.07354003829357e-123,"7","CCT5"
"MARCKSL1",5.85780899519272e-127,0.914240258303681,0.364,0.146,9.58454707793433e-123,"7","MARCKSL1"
"SRP9",5.90079471866618e-127,0.582622020461338,0.548,0.263,9.65488031868161e-123,"7","SRP9"
"YWHAE",1.11497985323734e-126,0.710428154297565,0.443,0.167,1.82433003586693e-122,"7","YWHAE"
"COX17.1",2.39766482619859e-126,0.679965959034831,0.539,0.23,3.92305918862613e-122,"7","COX17"
"HELLS",3.56177050215784e-126,0.299615308364171,0.206,0.025,5.82776889563065e-122,"7","HELLS"
"BANF1",1.36917225786058e-125,0.616245229531641,0.483,0.2,2.24023964831148e-121,"7","BANF1"
"MZT2B",3.08675410992674e-125,0.773384143488096,0.513,0.267,5.05054707466213e-121,"7","MZT2B"
"ANXA2.1",3.17227737146733e-125,1.76451898187782,0.488,0.353,5.19048023519485e-121,"7","ANXA2"
"CLTA",1.1557800063021e-124,0.719144329835547,0.442,0.18,1.89108724631149e-120,"7","CLTA"
"HMCES",3.61557511211205e-124,0.399672936428291,0.25,0.051,5.91580399843774e-120,"7","HMCES"
"MIF.1",6.86151689252345e-124,0.759492156038983,0.785,0.65,1.12268139395469e-119,"7","MIF"
"PSMD14",1.89765158345058e-123,0.460923520271562,0.287,0.072,3.10493752084183e-119,"7","PSMD14"
"NME1.1",2.84055660950467e-123,0.607311015181007,0.329,0.093,4.64771872447154e-119,"7","NME1"
"AP2S1",5.20276084517712e-123,0.574739653312309,0.463,0.182,8.5127572948788e-119,"7","AP2S1"
"ATP5F1B",8.0527923041568e-122,0.672122358677612,0.513,0.256,1.31759787680614e-117,"7","ATP5F1B"
"VPS29",2.4807067933065e-121,0.569579622267826,0.416,0.16,4.05893245520809e-117,"7","VPS29"
"PPP4C",5.34082319562309e-121,0.595402773187468,0.442,0.176,8.7386549126785e-117,"7","PPP4C"
"SMS",9.35556648383105e-121,0.550023941075739,0.34,0.1,1.53075778808444e-116,"7","SMS"
"IDH2",5.29008615999568e-119,0.530246116803495,0.414,0.145,8.65563897498493e-115,"7","IDH2"
"RBBP7",9.62269525809208e-119,0.432810992119254,0.353,0.102,1.57446539812903e-114,"7","RBBP7"
"RHOA",9.87624160002217e-119,0.645806957891817,0.64,0.369,1.61595065059563e-114,"7","RHOA"
"TACC3",2.27223557698595e-118,0.318121246295825,0.235,0.04,3.71783185106441e-114,"7","TACC3"
"COX6C",6.19922749707785e-118,0.728212724593039,0.781,0.56,1.01431760307188e-113,"7","COX6C"
"COX7A2.1",9.05055023684606e-118,0.825468881397714,0.755,0.517,1.48085102975275e-113,"7","COX7A2"
"CENPX",1.16483687125145e-117,0.463041175879938,0.316,0.084,1.90590608874163e-113,"7","CENPX"
"BIK",5.64749017558389e-117,0.377992270900534,0.208,0.03,9.24042342529036e-113,"7","BIK"
"CACYBP",2.84722409221153e-116,0.519073860828126,0.407,0.152,4.6586280596765e-112,"7","CACYBP"
"NASP",6.02928231175222e-116,0.45161102204993,0.353,0.107,9.86511171848898e-112,"7","NASP"
"RRM1",7.55766669155631e-116,0.291927217022277,0.206,0.03,1.23658542407244e-111,"7","RRM1"
"PARK7",1.06590639821933e-115,0.70037421881726,0.648,0.38,1.74403604876647e-111,"7","PARK7"
"HNRNPK",1.49782700964778e-114,0.658856863503487,0.694,0.441,2.4507445531857e-110,"7","HNRNPK"
"CDCA4",9.93664356837091e-114,0.280635816551782,0.217,0.033,1.62583362065685e-109,"7","CDCA4"
"S100A10",1.09687079166931e-113,1.32134118539025,0.675,0.562,1.79469998932933e-109,"7","S100A10"
"HSPE1.1",2.19383108859859e-113,0.732295543367002,0.532,0.292,3.58954642716502e-109,"7","HSPE1"
"ARPC1B.1",3.0759271935351e-113,0.668243793975432,0.644,0.394,5.03283207406214e-109,"7","ARPC1B"
"SNRPD3",3.66315761555318e-113,0.517360829305388,0.455,0.187,5.99365849056812e-109,"7","SNRPD3"
"TPM4.1",7.39091196728502e-113,1.05039366647395,0.388,0.156,1.20930101608717e-108,"7","TPM4"
"HAUS1",7.90055987772501e-113,0.344875110211862,0.271,0.06,1.29268960719337e-108,"7","HAUS1"
"EIF4A1",1.49100654115955e-112,0.649833968030868,0.564,0.343,2.43958490264525e-108,"7","EIF4A1"
"NUTF2",2.54696832273901e-112,0.485373252633199,0.318,0.088,4.16734956966557e-108,"7","NUTF2"
"TALDO1",2.56118916912177e-112,0.562227085014081,0.397,0.153,4.19061771851704e-108,"7","TALDO1"
"UQCRH.1",9.62741808531466e-112,0.665884518327416,0.704,0.461,1.57523814711919e-107,"7","UQCRH"
"PRDX6",1.99212414163246e-111,0.552970561411317,0.479,0.228,3.25951352053903e-107,"7","PRDX6"
"YWHAQ",8.14242556126965e-111,0.628645895112168,0.522,0.254,1.33226367033494e-106,"7","YWHAQ"
"TFDP1",1.00341492562512e-110,0.289311219789356,0.221,0.036,1.64178750130782e-106,"7","TFDP1"
"SAE1",1.07865106798362e-110,0.322183783225469,0.265,0.056,1.7648888774348e-106,"7","SAE1"
"HNRNPM",1.61495158897299e-109,0.550519841979068,0.445,0.189,2.64238378987761e-105,"7","HNRNPM"
"HPRT1",2.41881978949785e-109,0.380890159095299,0.306,0.083,3.95767293957638e-105,"7","HPRT1"
"HSPD1",7.23003428263108e-109,0.616647479370448,0.381,0.167,1.1829782093241e-104,"7","HSPD1"
"PRDX3",2.50656536617862e-108,0.42811658404016,0.357,0.111,4.10124225214146e-104,"7","PRDX3"
"PSMA3",2.80846563655479e-108,0.537786906674163,0.374,0.139,4.59521147453095e-104,"7","PSMA3"
"PSMB1",4.96842533598641e-108,0.744825791899302,0.531,0.296,8.12933753474096e-104,"7","PSMB1"
"COX6B1.1",2.72583547472242e-107,0.84568101805849,0.759,0.548,4.46001200374083e-103,"7","COX6B1"
"PSMB6",3.23402792095751e-107,0.613877658047659,0.426,0.176,5.29151648427068e-103,"7","PSMB6"
"PSMD8",9.99640669173206e-107,0.593691513691005,0.458,0.204,1.6356120629012e-102,"7","PSMD8"
"UBE2I",3.91607018348647e-106,0.530655557133934,0.475,0.227,6.40747403422056e-102,"7","UBE2I"
"PGK1",8.65521457683033e-106,0.725643327806657,0.565,0.298,1.41616620906098e-101,"7","PGK1"
"SNRNP25",1.41148242208737e-105,0.312736596611896,0.233,0.045,2.30946753901936e-101,"7","SNRNP25"
"ROMO1.1",4.7955425060913e-105,0.698429624525741,0.446,0.19,7.84646664846658e-101,"7","ROMO1"
"GLRX3",1.03988316075772e-104,0.437835856014244,0.292,0.087,1.70145682763178e-100,"7","GLRX3"
"UBE2A",3.50417124253211e-104,0.403826663231388,0.331,0.101,5.73352498703103e-100,"7","UBE2A"
"MCM5",3.05518432602974e-101,0.324941465541217,0.231,0.049,4.99889259424986e-97,"7","MCM5"
"OAZ1",5.29110561517221e-101,0.706604632670834,0.901,0.763,8.65730700754478e-97,"7","OAZ1"
"ANXA5.1",6.9066157597007e-101,0.788149107679199,0.441,0.212,1.13006047060223e-96,"7","ANXA5"
"ENY2",7.14245285008896e-101,0.528805156931845,0.44,0.184,1.16864813533156e-96,"7","ENY2"
"POLR2L.1",1.41274520141729e-100,0.725430725591111,0.589,0.353,2.31153369855897e-96,"7","POLR2L"
"MRPL52.1",2.23932074016044e-100,0.60588791536092,0.404,0.165,3.66397659505051e-96,"7","MRPL52"
"SNRPA1",2.88188485458746e-100,0.40385501167072,0.318,0.097,4.71533999907601e-96,"7","SNRPA1"
"YWHAB",3.17448382649591e-100,0.681263230822729,0.595,0.351,5.1940904369126e-96,"7","YWHAB"
"RAD21",1.08097531456797e-99,0.426818790889602,0.368,0.137,1.76869180969611e-95,"7","RAD21"
"ELOC",8.18551158963312e-99,0.548243885501541,0.389,0.165,1.33931340629577e-94,"7","ELOC"
"HNRNPF",1.40927998044823e-98,0.527594094591253,0.539,0.293,2.30586390400939e-94,"7","HNRNPF"
"RHEB",2.58180401495179e-98,0.540780929220152,0.339,0.138,4.22434772926411e-94,"7","RHEB"
"NPM1.1",1.46465693995691e-97,0.808453996006193,0.855,0.714,2.39647168515749e-93,"7","NPM1"
"HSP90AB1",4.77535767280231e-97,0.938110149902058,0.58,0.417,7.81344022423914e-93,"7","HSP90AB1"
"PSME2.1",6.02969243007514e-97,0.645481934312359,0.566,0.321,9.86578275408895e-93,"7","PSME2"
"MZT1",7.01132867143183e-97,0.311013072891903,0.269,0.066,1.14719359721968e-92,"7","MZT1"
"UBE2J1.1",8.34026813488595e-97,0.43560562114415,0.27,0.082,1.36463467223004e-92,"7","UBE2J1"
"EIF4A3",9.95403424255538e-97,0.371847569026309,0.289,0.086,1.62867908276691e-92,"7","EIF4A3"
"UBE2N",1.57761164220678e-96,0.466407074895953,0.468,0.212,2.58128816897873e-92,"7","UBE2N"
"HSBP1",1.72405329169534e-96,0.650522360987649,0.387,0.158,2.82089599587191e-92,"7","HSBP1"
"NUDT21",3.04989256491137e-96,0.331875764163236,0.302,0.082,4.99023421470798e-92,"7","NUDT21"
"MDH1",5.74762475510589e-96,0.432440640118882,0.396,0.156,9.40426362430425e-92,"7","MDH1"
"SSBP1",6.05037711706859e-96,0.578543053406528,0.435,0.223,9.89962703894762e-92,"7","SSBP1"
"TPM3.1",9.71147768518148e-96,0.613364602934397,0.564,0.33,1.58899197884939e-91,"7","TPM3"
"PSMB7",3.84404394661475e-95,0.645295339391046,0.37,0.167,6.28962470545105e-91,"7","PSMB7"
"NAA38",8.1653944333323e-95,0.458792212147288,0.415,0.167,1.33602183718183e-90,"7","NAA38"
"SNRPC",1.91343172049032e-94,0.447732291383565,0.373,0.146,3.13075698106625e-90,"7","SNRPC"
"PSMC1",3.0972923202611e-94,0.474543027878995,0.294,0.101,5.06778969441121e-90,"7","PSMC1"
"RTRAF",3.7556297525201e-94,0.523406232437358,0.499,0.248,6.14496140107339e-90,"7","RTRAF"
"EZR",5.95436488423284e-94,0.628938480762746,0.478,0.239,9.74253182358177e-90,"7","EZR"
"VRK1",6.49266009707567e-94,0.266327537926299,0.214,0.04,1.06232904508352e-89,"7","VRK1"
"DNAJC15",7.47855136086707e-94,0.52422553687834,0.357,0.138,1.22364057366507e-89,"7","DNAJC15"
"WDR1",2.22205483966681e-93,0.533241899612584,0.371,0.153,3.63572612866283e-89,"7","WDR1"
"PSMA5",2.60707962937151e-93,0.470097025440933,0.4,0.163,4.26570368957766e-89,"7","PSMA5"
"HNRNPR",4.63347383488658e-93,0.452820837786393,0.408,0.163,7.58128988864142e-89,"7","HNRNPR"
"PPDPF",5.26949976881184e-93,0.797839837451316,0.55,0.411,8.62195552172994e-89,"7","PPDPF"
"SERBP1",9.38816478393579e-93,0.61083875801733,0.487,0.26,1.53609152194757e-88,"7","SERBP1"
"SFPQ",1.00631692865802e-92,0.436738096908764,0.393,0.149,1.64653575867026e-88,"7","SFPQ"
"MZT2A",5.63223484955145e-92,0.519503520676062,0.52,0.263,9.21546266083608e-88,"7","MZT2A"
"HNRNPC",5.89710737659531e-92,0.556960325291336,0.637,0.382,9.64884708958524e-88,"7","HNRNPC"
"AURKAIP1.1",6.68566787834058e-92,0.593347690349738,0.403,0.187,1.09390897825409e-87,"7","AURKAIP1"
"NUDC",1.01997072251986e-91,0.598268095460257,0.346,0.153,1.668876096187e-87,"7","NUDC"
"CAP1",1.75166276355677e-91,0.627797577476981,0.561,0.326,2.86607061373159e-87,"7","CAP1"
"MRPL27",4.06484333469021e-91,0.418789025021453,0.285,0.086,6.65089666422013e-87,"7","MRPL27"
"TPGS2",6.97436598878282e-91,0.30690222439993,0.249,0.057,1.14114576308465e-86,"7","TPGS2"
"FDPS",1.48727814692733e-90,0.396332138276398,0.324,0.104,2.4334845040025e-86,"7","FDPS"
"BRK1",2.84712671568047e-90,0.561779006854903,0.601,0.356,4.65846873219638e-86,"7","BRK1"
"MTCH2",4.18021927170303e-90,0.359578362979855,0.241,0.062,6.8396747723605e-86,"7","MTCH2"
"IL7R.1",6.03678908471596e-90,-0.811909948593668,0.106,0.353,9.87739430041226e-86,"7","IL7R"
"CYC1",9.90578760323812e-90,0.546706385149713,0.316,0.124,1.62078496764182e-85,"7","CYC1"
"XRCC6",1.97489531110883e-89,0.475757964560196,0.461,0.211,3.23132370803626e-85,"7","XRCC6"
"SOD1",8.11688119068e-89,0.565592598898892,0.65,0.419,1.32808410041906e-84,"7","SOD1"
"ELOB.1",1.74006917877616e-88,0.73651086639952,0.708,0.483,2.84710119031355e-84,"7","ELOB"
"PRDX2.1",3.33036840779765e-88,0.519092739560924,0.419,0.199,5.44914878883851e-84,"7","PRDX2"
"NDUFS6.1",7.54220409182128e-88,0.52066903145126,0.441,0.208,1.2340554335038e-83,"7","NDUFS6"
"RAB5IF",7.78293832642632e-88,0.543169559887579,0.357,0.152,1.27344436896987e-83,"7","RAB5IF"
"RBM8A",8.94797447400332e-88,0.506298879370367,0.496,0.265,1.46406758343642e-83,"7","RBM8A"
"UQCR10",1.16478220868572e-87,0.618298763491843,0.596,0.376,1.90581664985157e-83,"7","UQCR10"
"SMC3",1.34158700530708e-87,0.403564495555743,0.353,0.127,2.19510465808344e-83,"7","SMC3"
"BASP1",3.34561051854678e-87,0.395023175730298,0.214,0.052,5.47408793044625e-83,"7","BASP1"
"COMMD4",3.96604597579927e-87,0.299045458673691,0.245,0.059,6.48924442560277e-83,"7","COMMD4"
"CCT8",4.64928973452353e-87,0.45473011285336,0.368,0.174,7.6071678636274e-83,"7","CCT8"
"TCEA1",5.78278809484314e-87,0.459150802305488,0.422,0.201,9.46179788078235e-83,"7","TCEA1"
"HDAC1",7.75732549317024e-87,0.372452138518161,0.329,0.117,1.26925359719251e-82,"7","HDAC1"
"SRSF2",9.59325851075663e-87,0.538227907110676,0.575,0.349,1.56964895753e-82,"7","SRSF2"
"CCT2",1.04080559174426e-86,0.445144392241484,0.294,0.105,1.70296610921196e-82,"7","CCT2"
"EIF2S2",4.05338107480727e-86,0.643350508557728,0.394,0.198,6.63214211459965e-82,"7","EIF2S2"
"ATP5PB",5.11976696989723e-86,0.470906917154217,0.45,0.223,8.37696271614585e-82,"7","ATP5PB"
"SSRP1",6.74767916926451e-86,0.340971163568594,0.248,0.066,1.10405526567506e-81,"7","SSRP1"
"USP1",8.17059000265678e-86,0.307737835092756,0.242,0.063,1.3368719362347e-81,"7","USP1"
"ZFP36L2",9.76072442731572e-86,-0.668074079974559,0.398,0.663,1.5970497307974e-81,"7","ZFP36L2"
"NDUFAB1",1.10997628393967e-85,0.456661262038808,0.372,0.163,1.81614319578209e-81,"7","NDUFAB1"
"RALY",1.66833760812133e-85,0.428561273324974,0.373,0.152,2.72973399440812e-81,"7","RALY"
"MAD2L2",1.76061412427611e-85,0.292270491232832,0.229,0.057,2.88071683014057e-81,"7","MAD2L2"
"FKBP3",2.0365090719283e-85,0.382339225398419,0.318,0.107,3.33213614348909e-81,"7","FKBP3"
"PA2G4",4.16373981618433e-85,0.574150749548214,0.456,0.229,6.81271108724081e-81,"7","PA2G4"
"SF3B6",5.02516062534958e-85,0.481611438289216,0.467,0.239,8.22216781519699e-81,"7","SF3B6"
"UBL5.1",8.65630645754935e-85,0.660305059838317,0.729,0.513,1.41634486258422e-80,"7","UBL5"
"MAGOH",9.29313201633841e-85,0.413758274756286,0.389,0.156,1.52054226051329e-80,"7","MAGOH"
"NDUFV2.1",1.69304847765862e-84,0.587789839837723,0.447,0.224,2.77016591914503e-80,"7","NDUFV2"
"MRPL23",2.36199209737351e-84,0.450233574363722,0.394,0.156,3.86469146972255e-80,"7","MRPL23"
"PRELID1",3.75872941329497e-84,0.758002972472907,0.399,0.225,6.15003306603323e-80,"7","PRELID1"
"CYCS",5.13842521891923e-84,0.572863495064142,0.479,0.251,8.40749134319565e-80,"7","CYCS"
"MPC2",6.28862405648434e-84,0.393812832362388,0.378,0.148,1.02894466812197e-79,"7","MPC2"
"TIMM8B",9.44867686819661e-84,0.478567187356656,0.327,0.127,1.54599250917433e-79,"7","TIMM8B"
"BLOC1S1",1.82308723749182e-83,0.49195704937261,0.498,0.261,2.98293533798412e-79,"7","BLOC1S1"
"NDUFA13.1",7.06935123991577e-83,0.613640379340136,0.665,0.449,1.15668724987502e-78,"7","NDUFA13"
"SUMO1",7.10977488071838e-83,0.47493984057804,0.513,0.285,1.16330136598314e-78,"7","SUMO1"
"CDK4",9.67488309964945e-83,0.325532814971946,0.214,0.052,1.58300437276464e-78,"7","CDK4"
"TUBA4A",1.24661549114445e-82,0.631872472342372,0.405,0.22,2.03971226661055e-78,"7","TUBA4A"
"PPM1G",1.38131645981412e-82,0.40772915657012,0.327,0.12,2.26010999154787e-78,"7","PPM1G"
"BUB3",1.38791756327283e-82,0.438979294996839,0.464,0.228,2.270910717027e-78,"7","BUB3"
"NDUFA2.1",2.27779669326894e-82,0.461676965290683,0.461,0.22,3.72693094952664e-78,"7","NDUFA2"
"ACTN4",3.2279311122408e-82,0.681214440176789,0.268,0.111,5.2815408858484e-78,"7","ACTN4"
"GGCT",3.72785783626516e-82,0.329560097566495,0.232,0.06,6.09952099169706e-78,"7","GGCT"
"TIMM10",3.94578112218751e-82,0.346382406568201,0.282,0.086,6.4560870721232e-78,"7","TIMM10"
"TPRKB",4.2221658329814e-82,0.352656622438228,0.278,0.087,6.90830773592416e-78,"7","TPRKB"
"DCTN3",7.77870984344039e-82,0.384021787695829,0.338,0.133,1.27275250458372e-77,"7","DCTN3"
"GDI2",8.70070937104977e-82,0.459373194021461,0.457,0.229,1.42361006729116e-77,"7","GDI2"
"PAFAH1B3",1.72712032098024e-81,0.300705316276891,0.203,0.042,2.82591426918786e-77,"7","PAFAH1B3"
"PSMD9",1.90523857681297e-81,0.366230223791925,0.293,0.1,3.11735135938137e-77,"7","PSMD9"
"UQCC2",2.22537095786376e-81,0.372373829329949,0.293,0.09,3.64115196125669e-77,"7","UQCC2"
"NDUFB1",2.28471710674351e-81,0.499438914002317,0.508,0.261,3.73825413005373e-77,"7","NDUFB1"
"METAP2",2.8174165247642e-81,0.409685964314833,0.317,0.113,4.60985691781919e-77,"7","METAP2"
"HDGF",7.4543995053825e-81,0.326195825514247,0.202,0.046,1.21968884707068e-76,"7","HDGF"
"PPA1",8.31446271400918e-81,0.680664505381819,0.373,0.191,1.36041238926618e-76,"7","PPA1"
"TBCA",1.00218960136659e-80,0.589803098230231,0.548,0.345,1.63978262575601e-76,"7","TBCA"
"PDCD5",4.52284717931129e-80,0.534757035797007,0.318,0.137,7.40028255478914e-76,"7","PDCD5"
"HMGN3.1",4.65092709101528e-80,0.468111434654498,0.451,0.206,7.6098469063192e-76,"7","HMGN3"
"S100A6",4.94338459636809e-80,2.02842551061707,0.753,0.858,8.08836587657747e-76,"7","S100A6"
"NEDD8",5.21569109375571e-80,0.598755307392282,0.593,0.367,8.53391376760309e-76,"7","NEDD8"
"PLIN3",6.43074849059786e-80,0.38620453097567,0.206,0.05,1.05219906803162e-75,"7","PLIN3"
"NANS.1",8.69923099194409e-80,0.28916535260622,0.213,0.051,1.42336817490189e-75,"7","NANS"
"NDUFB4.1",1.17361399611086e-79,0.650425424572365,0.518,0.303,1.92026722043658e-75,"7","NDUFB4"
"CDK2AP2",1.41893307083891e-79,0.389747860857936,0.311,0.108,2.32165829050662e-75,"7","CDK2AP2"
"NCL",1.89513787510311e-79,0.613084529561909,0.471,0.255,3.10082459124371e-75,"7","NCL"
"SEC61G.1",4.32117383771881e-79,0.748906384315145,0.539,0.351,7.07030463327551e-75,"7","SEC61G"
"VDAC2",8.37247981234494e-79,0.626624715018338,0.359,0.191,1.36990514689588e-74,"7","VDAC2"
"NDUFB2",1.17471523868541e-78,0.53261388630438,0.54,0.308,1.92206907353706e-74,"7","NDUFB2"
"RAC1",1.58991120499891e-78,0.626110125396728,0.534,0.315,2.60141271361921e-74,"7","RAC1"
"DAZAP1",1.92455331029247e-78,0.310078968312561,0.241,0.068,3.14895412630054e-74,"7","DAZAP1"
"SRP14",1.96452649303315e-78,0.707222554266536,0.858,0.725,3.21435824790085e-74,"7","SRP14"
"PMVK",1.96711413868714e-78,0.300773783582878,0.26,0.074,3.2185921537199e-74,"7","PMVK"
"UQCRFS1",4.30132039268604e-78,0.416910191251665,0.364,0.151,7.03782042651289e-74,"7","UQCRFS1"
"TKT",1.33583155090676e-77,0.418776785486809,0.302,0.11,2.18568758359364e-73,"7","TKT"
"PPP1CC",2.8646404149656e-77,0.401900647050373,0.4,0.178,4.68712464696671e-73,"7","PPP1CC"
"LSM6",5.9913960101095e-77,0.368755364963048,0.373,0.161,9.80312215174117e-73,"7","LSM6"
"CCT3",6.61065205968391e-77,0.457151016969988,0.338,0.151,1.08163489000548e-72,"7","CCT3"
"NDUFA12",8.01897651936644e-77,0.443236545240662,0.439,0.209,1.31206493809874e-72,"7","NDUFA12"
"SEC61B.1",1.26625304674578e-76,0.657338657416398,0.557,0.333,2.07184323508545e-72,"7","SEC61B"
"XRCC5",1.86584824396622e-76,0.486074183824222,0.408,0.2,3.05290089677754e-72,"7","XRCC5"
"DNAJC8",2.06838568580622e-76,0.396243111051835,0.408,0.179,3.38429265911613e-72,"7","DNAJC8"
"GRHPR",3.17939988432625e-76,0.318045291034265,0.232,0.073,5.20213409073461e-72,"7","GRHPR"
"ANP32A",3.4280371545979e-76,0.361784210105709,0.373,0.147,5.60895439235308e-72,"7","ANP32A"
"UFD1",2.15262639367921e-75,0.344056455257142,0.259,0.085,3.52212730533793e-71,"7","UFD1"
"HAT1",3.30137908458143e-75,0.277040430841666,0.244,0.067,5.40171645819214e-71,"7","HAT1"
"ODC1",4.87820971668718e-75,0.316225672003582,0.256,0.084,7.98172673844357e-71,"7","ODC1"
"GSTO1",5.28905915186478e-75,0.560703018302608,0.375,0.178,8.65395858428115e-71,"7","GSTO1"
"CCT6A",1.60604262121638e-74,0.496901327590385,0.302,0.122,2.62780693683424e-70,"7","CCT6A"
"MRPL22",1.69561301377895e-74,0.367310239277601,0.267,0.095,2.77436201314512e-70,"7","MRPL22"
"GTF2A2",1.74557069655288e-74,0.413836485155671,0.367,0.159,2.85610277369983e-70,"7","GTF2A2"
"STRAP",1.81567757090506e-74,0.385124914442032,0.276,0.119,2.97081164151486e-70,"7","STRAP"
"RAB11A",4.52216183881687e-74,0.559842170985825,0.343,0.165,7.39916120067217e-70,"7","RAB11A"
"VDAC3",5.35060535943163e-74,0.3491810555277,0.296,0.11,8.75466048910204e-70,"7","VDAC3"
"EIF6",5.86302074579722e-74,0.689214034964711,0.285,0.145,9.59307454427341e-70,"7","EIF6"
"CLIC1",6.41131888303687e-74,0.816134646076506,0.694,0.545,1.04901999564249e-69,"7","CLIC1"
"ZDHHC12",7.94787318227776e-74,0.314683080736896,0.248,0.076,1.30043101008429e-69,"7","ZDHHC12"
"EIF3I",8.98664359179393e-74,0.489682803464435,0.391,0.212,1.47039462448932e-69,"7","EIF3I"
"NDUFB6",1.03129312955109e-73,0.394387060591989,0.317,0.129,1.68740181857149e-69,"7","NDUFB6"
"CYSTM1.1",1.10581730743069e-73,0.804910779022609,0.245,0.142,1.80933827841809e-69,"7","CYSTM1"
"NDUFA6",1.28724147276243e-73,0.484382810012381,0.399,0.184,2.10618449773389e-69,"7","NDUFA6"
"MRPL14",3.104185497751e-73,0.476051207298181,0.251,0.1,5.07906831142019e-69,"7","MRPL14"
"BUD31",3.30123038932088e-73,0.437071505255968,0.35,0.161,5.40147316300683e-69,"7","BUD31"
"MYL12B.1",4.11006100189409e-73,1.03781314111486,0.741,0.603,6.72488181129912e-69,"7","MYL12B"
"DSTN.1",5.14413792351341e-73,0.925314398330165,0.317,0.213,8.41683847045264e-69,"7","DSTN"
"ATP5MC1.1",7.67774126919267e-73,0.441494901621061,0.382,0.179,1.25623202646531e-68,"7","ATP5MC1"
"CSNK2B",8.81382156771481e-73,0.42144911477855,0.429,0.204,1.4421174849095e-68,"7","CSNK2B"
"ATP5F1A",1.48591307659208e-72,0.468074412035956,0.452,0.255,2.43125097591997e-68,"7","ATP5F1A"
"EBP",1.91422209843948e-72,0.310758866089421,0.24,0.074,3.13205019746668e-68,"7","EBP"
"NOP10",4.48905839807198e-72,0.614416771603701,0.488,0.295,7.34499735092538e-68,"7","NOP10"
"NDUFA7",5.24757739456009e-72,0.399964971889573,0.329,0.151,8.58608613297921e-68,"7","NDUFA7"
"DCTPP1",6.67585218999281e-72,0.306936981788227,0.219,0.061,1.09230293532662e-67,"7","DCTPP1"
"C1QBP",7.50280642547103e-72,0.482481539511828,0.345,0.188,1.22760918733557e-67,"7","C1QBP"
"CAPZB.1",2.83612972814746e-71,0.525010284614445,0.572,0.361,4.64047546119487e-67,"7","CAPZB"
"RBM3",3.21464998113137e-71,0.707429136344736,0.558,0.36,5.25981029912714e-67,"7","RBM3"
"COPS3",3.60448630878927e-71,0.286499289197228,0.239,0.072,5.897660498441e-67,"7","COPS3"
"TCP1",4.18309879878368e-71,0.392334441491412,0.276,0.11,6.84438625456986e-67,"7","TCP1"
"NONO",4.58901189201384e-71,0.373606180394214,0.341,0.139,7.50854125771304e-67,"7","NONO"
"COPE.1",5.85622215553192e-71,0.480385416709613,0.531,0.304,9.58195069088133e-67,"7","COPE"
"CAPZA1",7.02735334956341e-71,0.415282646246886,0.433,0.21,1.14981555505557e-66,"7","CAPZA1"
"THOC7",7.68875196865799e-71,0.377965574838779,0.321,0.131,1.25803359711182e-66,"7","THOC7"
"SSNA1",7.70417242854055e-71,0.399078240610958,0.32,0.141,1.2605566927578e-66,"7","SSNA1"
